,x_lon,y_lat,year,country,HaulNumber,doty,trawl_depth,trawl_dur,trawl_net,time_minutes,ntd,depth,dts,dto,dfb,transparency,bottom_oxygen,salinity,temperature,126417,126425,126505,126436,126507,127214,126438,126426,125999,126822,127141,126736,127139,126868,127385,127082,127219,127023,126756,127143,127186,127123,150637,127203,126375,101172,126964,126421,126892,127393,126752,126484,127149,126450,126986,254529,154675,127190,127187,105923,127137,126281,126916,126437,151308
0,19.4613,63.1488,2007,SE,1,274,40.0,30,16.0,279,0,167.0,20.481314263897133,1420.4964066332946,127.0,8.60378646850586,290.490478515625,5.63,3.48,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18.812,62.4123,2007,SE,10,275,80.0,31,15.0,779,1,109.0,44.33412528920953,1334.3846099499406,29.0,8.727511405944824,285.4656677246094,6.15,3.11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,19.404,62.406,2007,SE,11,275,63.6,60,13.4,921,0,91.0,71.66410333797768,1333.457723761849,27.4,8.755273818969727,285.7255249023437,6.09,2.98,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,20.3698,62.3898,2007,SE,12,275,2.4,30,17.6,1155,-1,76.0,38.05906233315363,1331.6039513856615,73.6,8.836431503295898,318.4564819335937,5.32,9.12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,19.1682,62.0292,2007,SE,13,276,14.6,30,18.5,305,0,80.0,77.05058680469551,1289.9295204452046,65.4,8.778097152709961,276.1612854003906,4.91,8.71,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,17.9218,62.1738,2007,SE,14,276,3.3,30,17.0,564,1,64.0,11.020820142318923,1306.5957480690145,60.7,8.631743431091309,286.5860595703125,4.78,8.49,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,17.7558,61.9737,2007,SE,15,276,53.0,30,12.0,698,1,78.0,12.338318059860386,1283.441317128557,25.0,8.706792831420898,276.3281555175781,5.85,3.22,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,18.0817,61.8302,2007,SE,16,276,22.0,46,18.0,866,1,79.0,30.173854445156035,1266.775089504743,57.0,8.782017707824707,261.8937072753906,5.03,8.6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,18.501,61.8075,2007,SE,17,276,35.0,30,17.0,1006,0,72.0,50.67373619292009,1263.9944309404643,37.0,8.711420059204102,257.2165832519531,5.42,3.96,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,19.24,61.6672,2007,SE,18,276,9.5,40,17.0,1087,-1,77.0,89.89288810656232,1247.3282033166472,67.5,8.767129898071289,272.4916381835937,4.97,8.71,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20.5873,62.112,2007,SE,19,277,58.0,50,15.3,382,1,84.0,36.4145934986295,1300.2076810919232,26.0,8.848347663879395,325.2540588378906,6.07,3.66,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,20.2715,63.2997,2007,SE,2,274,26.0,30,15.0,645,1,105.0,17.894422763756886,1438.0895204452004,79.0,8.641406059265137,309.1899108886719,5.29,7.97,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,20.8553,61.9435,2007,SE,20,277,23.7,50,19.6,526,1,53.0,23.3265195904435,1286.9235113554485,29.3,8.59451961517334,332.66070556640625,5.5,8.94,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,20.875,61.7645,2007,SE,21,277,33.0,31,17.0,686,1,69.0,26.216181145877005,1270.4613182768337,36.0,8.703990936279297,326.0652770996094,5.55,7.65,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,20.5143,61.3828,2007,SE,22,277,64.0,50,15.3,913,0,112.0,45.48783405985171,1223.6036382243396,48.0,8.998068809509277,320.573486328125,6.39,4.72,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,19.5881,61.5518,2007,SE,23,277,8.9,40,18.1,1180,-1,77.0,93.21713955633852,1233.4426342571087,68.1,8.878255844116211,286.13922119140625,4.97,8.91,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,17.9599,61.2041,2007,SE,24,278,22.0,31,9.4,284,0,79.0,34.26675260265223,1197.629284749546,57.0,8.781513214111328,259.3727111816406,5.02,9.85,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
