x_lon,y_lat,year,country,HaulNumber,doty,trawl_depth,trawl_dur,trawl_net,time_minutes,ntd
19.4613,63.1488,2007,SE,1,274,40.0,30,16.0,279,0
18.812,62.4123,2007,SE,10,275,80.0,31,15.0,779,1
19.404,62.406,2007,SE,11,275,63.6,60,13.4,921,0
20.3698,62.3898,2007,SE,12,275,2.4,30,17.6,1155,-1
19.1682,62.0292,2007,SE,13,276,14.6,30,18.5,305,0
17.9218,62.1738,2007,SE,14,276,3.3,30,17.0,564,1
17.7558,61.9737,2007,SE,15,276,53.0,30,12.0,698,1
18.0817,61.8302,2007,SE,16,276,22.0,46,18.0,866,1
18.501,61.8075,2007,SE,17,276,35.0,30,17.0,1006,0
19.24,61.6672,2007,SE,18,276,9.5,40,17.0,1087,-1
20.5873,62.112,2007,SE,19,277,58.0,50,15.3,382,1
20.2715,63.2997,2007,SE,2,274,26.0,30,15.0,645,1
20.8553,61.9435,2007,SE,20,277,23.7,50,19.6,526,1
20.875,61.7645,2007,SE,21,277,33.0,31,17.0,686,1
20.5143,61.3828,2007,SE,22,277,64.0,50,15.3,913,0
19.5881,61.5518,2007,SE,23,277,8.9,40,18.1,1180,-1
17.9599,61.2041,2007,SE,24,278,22.0,31,9.4,284,0
18.0673,61.1226,2007,SE,25,278,24.9,30,18.3,395,1
18.7309,61.1367,2007,SE,26,281,29.1,30,15.5,433,1
19.2934,61.093,2007,SE,27,281,58.0,30,14.0,807,1
19.5531,61.0879,2007,SE,28,281,50.0,32,12.3,985,0
20.2436,61.1146,2007,SE,29,281,18.9,30,17.0,1272,-1
20.5278,62.9752,2007,SE,3,274,26.0,30,20.0,823,1
20.3896,60.8865,2007,SE,30,282,47.0,34,16.4,390,1
19.9261,60.9121,2007,SE,31,282,63.2,31,22.2,557,1
19.4131,60.938,2007,SE,32,282,84.0,60,12.0,705,1
18.7309,60.8829,2007,SE,33,282,46.0,30,15.0,912,0
18.6636,60.9081,2007,SE,34,282,2.0,40,21.6,987,0
17.8292,60.7748,2007,SE,35,282,17.5,30,21.2,1192,-1
20.0543,60.8335,2007,SE,36,283,42.0,30,15.9,288,0
18.9647,60.6176,2007,SE,37,283,40.0,30,16.0,705,1
20.2313,62.915,2007,SE,4,274,29.0,30,14.8,957,0
19.8218,62.7943,2007,SE,5,274,21.0,41,17.5,1141,-1
19.1692,62.7452,2007,SE,6,275,53.0,31,12.9,303,0
18.8155,62.6122,2007,SE,7,275,60.0,30,16.7,423,1
18.5648,62.5313,2007,SE,8,275,24.0,30,20.1,530,1
18.7185,62.422,2007,SE,9,275,3.1,30,17.0,710,1
18.6966,62.7897,2008,SE,1,266,84.7,32,12.7,524,1
20.2561,62.5916,2008,SE,10,267,14.3,30,16.4,1025,0
18.8312,62.4473,2008,SE,11,268,71.7,30,13.0,278,0
19.0918,62.3766,2008,SE,12,268,16.4,31,12.5,390,1
19.6222,62.3773,2008,SE,13,268,79.2,30,10.6,538,1
20.1019,62.3639,2008,SE,14,268,70.8,30,12.97,673,1
20.4914,62.1279,2008,SE,15,268,16.1,30,14.7,918,1
18.9884,62.124,2008,SE,16,268,15.3,31,13.6,1215,-1
18.3456,61.6238,2008,SE,17,269,15.2,30,14.6,274,0
18.9152,61.5849,2008,SE,18,269,15.6,30,15.0,431,1
19.1975,61.6161,2008,SE,19,269,14.8,30,14.5,539,1
18.9561,62.8927,2008,SE,2,266,88.2,30,14.8,688,1
19.7258,61.621,2008,SE,20,269,4.9,30,18.49,700,1
20.2028,61.6198,2008,SE,21,269,90.2,30,13.6,832,1
20.482,61.6204,2008,SE,22,269,15.3,30,15.5,933,0
18.2214,61.2148,2008,SE,23,270,34.2,30,18.0,335,0
19.2791,61.3823,2008,SE,25,273,20.0,60,16.4,404,1
19.9221,61.39,2008,SE,26,273,75.3,45,10.6,601,1
20.3617,61.3933,2008,SE,27,273,82.2,45,13.5,750,1
20.2504,61.1117,2008,SE,28,273,15.1,30,13.4,1059,-1
19.9272,60.9691,2008,SE,29,273,21.4,30,17.2,1202,-1
19.2793,63.1268,2008,SE,3,266,69.6,29,13.4,828,1
18.7711,61.0984,2008,SE,30,274,21.0,60,15.2,293,0
18.9548,60.9426,2008,SE,31,274,74.1,45,11.4,536,1
19.8835,60.908,2008,SE,32,274,81.1,45,12.7,761,1
20.4367,60.8736,2008,SE,33,274,16.6,30,18.4,1014,0
20.219,60.7526,2008,SE,34,274,20.2,30,16.7,1219,-1
20.0816,63.3364,2008,SE,4,266,46.9,30,12.9,1025,0
20.4206,63.3785,2008,SE,5,266,9.7,20,15.1,1140,-1
19.4565,63.1355,2008,SE,6,267,69.3,30,14.1,276,0
19.4909,62.9102,2008,SE,7,267,88.1,30,13.5,405,1
19.8058,62.8734,2008,SE,8,267,61.8,45,12.5,526,1
20.0768,62.8745,2008,SE,9,267,16.3,30,12.3,663,1
21.48167,58.09167,2008,EE,1,294,20.0,30,16.0,395,1
20.90333,58.08667,2008,EE,2,294,44.0,30,13.0,620,1
20.48667,58.40167,2008,EE,3,294,23.0,30,18.0,950,0
21.17167,58.40167,2008,EE,4,295,36.0,30,16.0,370,0
22.59167,59.23167,2008,EE,5,297,23.0,30,18.0,335,0
23.025,59.29833,2008,EE,6,297,56.0,30,14.0,500,1
23.03833,59.615,2008,EE,7,297,31.0,15,17.0,715,1
22.72833,59.61,2008,EE,8,297,33.0,30,17.0,865,0
20.089,63.3375,2009,SE,1,264,59.0,30,11.7,349,1
20.5443,62.372,2009,SE,11,266,47.0,40,17.0,273,0
20.2935,62.1103,2009,SE,12,266,82.0,30,12.1,515,1
19.9382,62.1467,2009,SE,13,266,86.0,50,12.9,650,1
18.92,62.1718,2009,SE,14,266,19.2,30,16.9,924,1
17.867,62.1348,2009,SE,15,266,19.9,46,20.0,1176,-1
19.1715,62.089,2009,SE,16,267,57.0,44,13.9,277,0
18.409,62.0538,2009,SE,17,267,63.0,40,11.7,471,1
17.9425,61.7468,2009,SE,18,267,50.0,50,12.4,654,1
18.0812,61.6933,2009,SE,19,267,47.0,45,13.2,813,1
20.382,63.2467,2009,SE,2,264,55.5,43,13.4,430,1
18.941,61.5805,2009,SE,20,267,9.0,35,15.7,1062,-1
19.417,61.6118,2009,SE,21,267,18.0,30,17.9,1213,-1
17.9263,61.0873,2009,SE,22,268,40.0,46,14.8,274,0
17.6348,60.9062,2009,SE,23,268,33.7,40,16.4,425,1
18.1083,61.2772,2009,SE,24,271,60.4,45,13.2,299,0
18.9585,61.4118,2009,SE,25,271,15.5,30,16.6,527,1
19.7333,61.5623,2009,SE,26,271,25.0,40,15.5,735,1
20.1043,61.697,2009,SE,27,271,84.0,30,12.0,932,0
20.4915,61.5783,2009,SE,28,272,65.3,63,12.6,289,0
20.2653,61.4272,2009,SE,29,272,82.0,54,12.5,521,1
19.9555,63.0828,2009,SE,3,264,68.0,43,11.9,803,1
19.7432,61.3312,2009,SE,31,272,72.0,60,14.1,869,1
20.1408,61.2355,2009,SE,32,272,15.5,45,13.5,1062,-1
18.0783,60.7938,2009,SE,33,273,34.0,60,17.5,651,1
19.0768,60.9385,2009,SE,34,273,78.0,60,14.6,935,0
20.1533,60.9607,2009,SE,35,273,21.8,46,19.1,1188,-1
19.2053,60.6297,2009,SE,36,274,33.5,60,14.3,285,0
18.9392,60.5317,2009,SE,37,274,55.5,50,9.3,427,1
19.7142,63.1175,2009,SE,4,264,80.6,39,12.8,981,0
19.153,62.9228,2009,SE,5,264,23.6,35,18.7,1229,-1
20.2878,62.628,2009,SE,6,265,52.0,46,13.0,319,0
20.0868,62.7107,2009,SE,7,265,63.0,40,14.1,476,1
19.5193,62.6227,2009,SE,8,265,85.0,45,11.2,681,1
18.8045,62.5953,2009,SE,9,265,89.0,44,12.4,893,1
20.4448,63.2249,2010,SE,1,263,19.0,47,17.7,221,0
18.0157,62.3512,2010,SE,10,264,65.0,30,12.2,807,1
20.4277,62.4179,2010,SE,11,265,20.0,69,18.7,173,-1
20.7827,62.1316,2010,SE,12,265,40.0,79,13.8,416,1
19.8518,62.1306,2010,SE,13,265,80.0,57,10.9,721,1
19.2239,62.1144,2010,SE,14,265,16.0,40,12.2,984,0
18.7078,62.0743,2010,SE,15,265,17.0,30,13.3,1150,-1
19.5608,61.8538,2010,SE,16,266,19.0,53,14.8,187,-1
20.651,61.8431,2010,SE,17,266,21.0,60,14.8,432,1
20.685,61.6055,2010,SE,18,266,73.0,80,11.8,724,1
19.7945,61.5947,2010,SE,19,266,21.9,40,17.0,1045,0
17.6156,60.9289,2010,SE,20,267,28.0,41,17.8,164,-1
19.286,60.6744,2010,SE,21,270,22.0,56,17.4,200,-1
20.1266,60.847,2010,SE,22,270,20.63,38,17.0,466,1
20.501,60.9136,2010,SE,23,270,19.72,30,16.7,663,1
20.4482,61.0928,2010,SE,24,270,22.8,30,18.6,931,0
20.985,61.2514,2010,SE,25,270,21.32,30,15.5,1116,-1
19.5135,61.0833,2010,SE,26,271,40.0,44,17.2,282,0
19.098,61.3162,2010,SE,27,271,20.79,50,16.2,467,1
18.8127,61.6248,2010,SE,28,271,20.82,30,16.8,658,1
18.4302,61.7885,2010,SE,29,271,57.84,30,16.0,819,1
19.3729,63.1741,2010,SE,3,263,69.0,45,13.0,616,1
17.7449,61.692,2010,SE,30,271,21.42,31,17.83,1044,0
17.863,61.0962,2010,SE,31,272,30.14,40,15.4,148,-1
18.515,60.8583,2010,SE,32,272,21.98,47,12.0,358,1
18.6604,61.0413,2010,SE,33,272,12.39,30,17.33,529,1
18.8252,61.1934,2010,SE,34,272,10.59,30,16.6,665,1
18.8368,60.9137,2010,SE,35,272,31.85,41,14.12,837,1
19.1983,60.8285,2010,SE,36,272,21.01,36,16.5,983,0
19.4357,62.9402,2010,SE,4,263,18.0,30,13.8,805,1
20.1509,62.9236,2010,SE,5,263,18.3,40,18.1,975,0
20.4642,62.8315,2010,SE,6,263,9.9,40,13.5,1130,-1
19.0727,62.6947,2010,SE,7,264,78.0,40,12.0,151,-1
18.5605,62.6625,2010,SE,8,264,72.0,35,12.4,331,1
17.8702,62.3195,2010,SE,9,264,59.0,61,12.3,604,1
12.1823,54.3917,2010,DE,1,279,8.0,30,8.0,1026,0
12.7905,54.7198,2010,DE,2,279,13.0,30,8.0,1247,-1
13.2857,54.7165,2010,DE,3,279,19.0,30,8.0,1389,-1
13.8015,54.72,2010,DE,4,280,28.0,30,8.0,100,-1
14.1232,54.6245,2010,DE,5,280,14.0,30,8.0,1005,0
13.7517,54.5632,2010,DE,6,280,13.0,30,8.0,1137,-1
13.7233,54.4542,2010,DE,7,280,12.0,30,8.0,1219,-1
14.7165,54.5607,2010,DE,8,281,20.0,30,8.0,52,-1
14.1473,54.9015,2010,DE,9,281,26.0,30,8.0,1019,0
13.4433,54.8908,2010,DE,10,281,33.0,30,8.0,1202,-1
12.8077,54.9063,2010,DE,11,281,17.0,30,8.0,1379,-1
12.3202,54.7935,2010,DE,12,282,11.0,30,8.0,98,-1
12.7587,55.0837,2010,DE,13,282,19.0,30,8.0,1068,-1
13.2325,55.0832,2010,DE,14,282,39.0,30,8.0,1205,-1
13.856,55.0813,2010,DE,15,282,35.0,30,8.0,1372,-1
14.2518,55.0515,2010,DE,16,283,37.0,30,8.0,64,-1
14.1327,55.2663,2010,DE,17,283,19.0,30,8.0,1081,-1
13.7058,55.2682,2010,DE,18,283,30.0,30,8.0,1208,-1
13.2545,55.2613,2010,DE,19,283,28.0,30,8.0,1335,-1
12.9995,55.2702,2010,DE,20,283,17.0,30,8.0,1426,-1
11.6193,54.2307,2010,DE,21,284,12.0,30,8.0,1035,0
11.2747,54.1278,2010,DE,22,284,15.0,30,8.0,1152,-1
11.3963,54.3112,2010,DE,23,284,10.0,30,8.0,1330,-1
11.4753,54.5358,2010,DE,24,285,8.0,30,8.0,11,-1
11.2137,54.6,2010,DE,25,285,15.0,30,8.0,113,-1
10.69,54.498,2010,DE,26,285,10.0,30,8.0,1027,0
10.4533,54.7723,2010,DE,27,285,14.0,30,8.0,1238,-1
10.2095,54.6213,2010,DE,28,285,11.0,30,8.0,1415,-1
10.1733,54.8555,2010,DE,29,286,21.0,30,8.0,103,-1
10.0355,55.0468,2010,DE,30,286,17.0,30,8.0,968,0
9.8108,55.096,2010,DE,31,286,12.0,30,8.0,1064,-1
10.2327,55.699,2010,DE,32,286,11.0,31,8.0,1414,-1
10.4635,55.8643,2010,DE,33,287,17.0,30,8.0,136,-1
10.6617,56.0423,2010,DE,34,287,15.0,30,8.0,991,0
10.929,55.7943,2010,DE,35,287,10.0,30,8.0,1200,-1
10.8663,55.462,2010,DE,36,287,15.0,30,8.0,1385,-1
10.9988,55.294,2010,DE,37,288,11.0,30,8.0,54,-1
11.2865,55.1402,2010,DE,38,288,17.0,30,8.0,1048,-1
10.8913,54.9288,2010,DE,39,288,16.0,30,8.0,1232,-1
12.8648,55.7757,2010,DE,40,289,13.0,30,8.0,1010,0
12.7223,55.9237,2010,DE,41,289,16.0,30,8.0,1115,-1
12.4862,56.1677,2010,DE,42,289,12.0,30,8.0,1256,-1
12.3625,56.1672,2010,DE,43,289,13.0,30,8.0,1379,-1
11.7548,56.1185,2010,DE,44,290,10.0,30,8.0,1063,-1
10.9767,56.1218,2010,DE,45,290,10.0,30,8.0,1253,-1
